PlayerA,PlayerB,RankA,RankB,RankDiff,WinnerBinary
Evans D.,Korda S.,26,50,-24.0,0
Fognini F.,Rublev A.,31,7,24.0,0
Garin C.,Martinez P.,20,107,-87.0,1
Murray A.,Shapovalov D.,118,12,106.0,0
Bautista Agut R.,Koepfer D.,10,62,-52.0,1
Federer R.,Gasquet R.,8,56,-48.0,1
Martinez P.,Monfils G.,107,17,90.0,1
Garin C.,Polmans M.,20,154,-134.0,1
Bublik A.,Dimitrov G.,38,21,17.0,1
Bonzi B.,Cilic M.,119,37,82.0,0
Giron M.,Hurkacz H.,66,18,48.0,0
Alcaraz C.,Medvedev D.,75,2,73.0,0
Bedene A.,Nishioka Y.,64,58,6.0,1
Bolt A.,Norrie C.,149,34,115.0,0
Auger-Aliassime F.,Ymer M.,19,98,-79.0,1
Kyrgios N.,Mager G.,60,77,-17.0,1
Sandgren T.,Zverev A.,68,6,62.0,0
Berrettini M.,Van De Zandschulp B.,9,139,-130.0,1
Fritz T.,Johnson S.,40,74,-34.0,1
Bautista Agut R.,Kecmanovic M.,10,49,-39.0,1
Duckworth J.,Querrey S.,91,54,37.0,1
Chardy J.,Ivashka I.,61,79,-18.0,0
Galan D.E.,Sonego L.,112,27,85.0,0
Nishikori K.,Thompson J.,53,78,-25.0,0
Gerasimov E.,Khachanov K.,73,29,44.0,0
Caruso S.,Cilic M.,96,37,59.0,0
Ivashka I.,Munar J.,79,69,10.0,1
Sonego L.,Sousa P.,27,121,-94.0,1
Chardy J.,Karatsev A.,61,24,37.0,1
Kudla D.,Seppi A.,114,90,24.0,1
Humbert U.,Kyrgios N.,25,60,-35.0,0
Bonzi B.,Trungelliti M.,119,205,-86.0,1
Monfils G.,O Connell C.,17,130,-113.0,1
Koepfer D.,Kwon S.W.,62,71,-9.0,1
Murray A.,Otte O.,118,151,-33.0,1
Tsonga J.W.,Ymer M.,85,98,-13.0,0
Alcaraz C.,Uchiyama Y.,75,116,-41.0,1
Ruud C.,Thompson J.,14,78,-64.0,0
Isner J.,Nishioka Y.,33,58,-25.0,0
Garin C.,Zapata Miralles B.,20,125,-105.0,1
Giron M.,Ruusuvuori E.,66,76,-10.0,1
Dimitrov G.,Verdasco F.,21,106,-85.0,1
Broady L.,Schwartzman D.,143,11,132.0,0
Berrettini M.,Pella G.,9,59,-50.0,1
Djere L.,Fognini F.,55,31,24.0,0
Londero J.I.,Mager G.,129,77,52.0,0
Fritz T.,Nakashima B.,40,138,-98.0,1
Norrie C.,Pouille L.,34,95,-61.0,1
Barrere G.,Van De Zandschulp B.,131,139,-8.0,0
Coria F.,Galan D.E.,87,112,-25.0,0
Andujar P.,Shapovalov D.,70,12,58.0,0
Fucsovics M.,Vesely J.,48,72,-24.0,1
Bublik A.,Kukushkin M.,38,105,-67.0,1
Anderson K.,Djokovic N.,102,1,101.0,0
Evans D.,Lajovic D.,26,42,-16.0,1
Pospisil V.,Tiafoe F.,65,57,8.0,0
Auger-Aliassime F.,Monteiro T.,19,81,-62.0,1
Nishikori K.,Popyrin A.,53,67,-14.0,1
Bedene A.,Moutet C.,64,83,-19.0,1
Albot R.,Duckworth J.,93,91,2.0,0
Hoang A.,Korda S.,156,50,106.0,0
Johnson S.,Novak D.,74,122,-48.0,1
Harris L.,Rublev A.,51,7,44.0,0
Carreno Busta P.,Querrey S.,13,54,-41.0,0
Clarke J.,Gerasimov E.,230,73,157.0,0
Andujar P.,Herbert P.H.,70,101,-31.0,1
Kohlschreiber P.,Shapovalov D.,115,12,103.0,0
Lajovic D.,Simon G.,42,97,-55.0,1
Hoang A.,Zhang Zh.,156,175,-19.0,1
Kwon S.W.,Masur D.,71,222,-151.0,1
Cuevas P.,Djere L.,84,55,29.0,0
Gombos N.,Sandgren T.,94,68,26.0,0
Gasquet R.,Sugita Y.,56,110,-54.0,1
Lu Y.,Polmans M.,625,154,471.0,0
Otte O.,Rinderknech A.,151,109,42.0,1
Federer R.,Mannarino A.,8,41,-33.0,1
Medvedev D.,Struff J.L.,2,45,-43.0,1
De Minaur A.,Korda S.,15,50,-35.0,0
Griekspoor T.,Zverev A.,124,6,118.0,0
Paire B.,Schwartzman D.,46,11,35.0,0
Fognini F.,Ramos-Vinolas A.,31,39,-8.0,1
Bolt A.,Krajinovic F.,149,44,105.0,1
Evans D.,Lopez F.,26,89,-63.0,1
Berankis R.,Harris L.,80,51,29.0,0
Hurkacz H.,Musetti L.,18,63,-45.0,1
Davidovich Fokina A.,Kudla D.,35,114,-79.0,0
Djokovic N.,Draper J.,1,253,-252.0,1
Delbonis F.,Rublev A.,47,7,40.0,0
Martinez P.,Travaglia S.,107,88,19.0,1
Seppi A.,Sousa J.,90,120,-30.0,1
Fucsovics M.,Sinner J.,48,23,25.0,1
Basilashvili N.,Murray A.,28,118,-90.0,0
Khachanov K.,McDonald M.,29,108,-79.0,1
Bautista Agut R.,Millman J.,10,43,-33.0,1
Anderson K.,Barrios M.,102,209,-107.0,1
Bagnis F.,Kecmanovic M.,92,49,43.0,0
Broady L.,Cecchinato M.,143,86,57.0,1
Carballes Baena R.,Pospisil V.,100,65,35.0,0
Tiafoe F.,Tsitsipas S.,57,4,53.0,1
Hanfmann Y.,Vesely J.,99,72,27.0,0
Koepfer D.,Opelka R.,62,32,30.0,1
Djokovic N.,Federer R.,1,3,-2.0,1
Bautista Agut R.,Djokovic N.,22,1,21.0,0
Federer R.,Nadal R.,3,2,1.0,1
Nadal R.,Querrey S.,2,65,-63.0,1
Federer R.,Nishikori K.,3,7,-4.0,1
Bautista Agut R.,Pella G.,22,26,-4.0,1
Djokovic N.,Goffin D.,1,23,-22.0,1
Querrey S.,Sandgren T.,65,94,-29.0,1
Pella G.,Raonic M.,26,17,9.0,1
Kukushkin M.,Nishikori K.,58,7,51.0,0
Goffin D.,Verdasco F.,23,37,-14.0,1
Berrettini M.,Federer R.,20,3,17.0,0
Djokovic N.,Humbert U.,1,66,-65.0,1
Nadal R.,Sousa J.,2,69,-67.0,1
Bautista Agut R.,Paire B.,22,32,-10.0,1
Berrettini M.,Schwartzman D.,20,24,-4.0,1
Evans D.,Sousa J.,61,69,-8.0,0
Kukushkin M.,Struff J.L.,58,33,25.0,1
Nadal R.,Tsonga J.W.,2,72,-70.0,1
Johnson S.,Nishikori K.,71,7,64.0,0
Federer R.,Pouille L.,3,28,-25.0,1
Fognini F.,Sandgren T.,10,94,-84.0,0
Millman J.,Querrey S.,64,65,-1.0,0
Goffin D.,Medvedev D.,23,13,10.0,1
Djokovic N.,Hurkacz H.,1,48,-47.0,1
Paire B.,Vesely J.,32,124,-92.0,1
Opelka R.,Raonic M.,63,17,46.0,0
Anderson K.,Pella G.,8,26,-18.0,0
Fabbiano T.,Verdasco F.,89,37,52.0,0
Auger-Aliassime F.,Humbert U.,21,66,-45.0,0
Bautista Agut R.,Khachanov K.,22,9,13.0,1
Koepfer D.,Schwartzman D.,130,24,106.0,0
Sandgren T.,Simon G.,94,25,69.0,1
Fognini F.,Fucsovics M.,10,51,-41.0,1
De Minaur A.,Johnson S.,29,71,-42.0,0
Isner J.,Kukushkin M.,12,58,-46.0,0
Kyrgios N.,Nadal R.,43,2,41.0,0
Fritz T.,Struff J.L.,31,33,-2.0,0
Nishikori K.,Norrie C.,7,55,-48.0,1
Cilic M.,Sousa J.,18,69,-51.0,0
Querrey S.,Rublev A.,65,79,-14.0,1
Djere L.,Millman J.,35,64,-29.0,0
Berankis R.,Tsonga J.W.,77,72,5.0,0
Basilashvili N.,Evans D.,16,61,-45.0,0
Baghdatis M.,Berrettini M.,135,20,115.0,0
Barrere G.,Pouille L.,116,28,88.0,0
Clarke J.,Federer R.,169,3,166.0,0
Opelka R.,Wawrinka S.,63,19,44.0,1
Edmund K.,Verdasco F.,30,37,-7.0,0
Fabbiano T.,Karlovic I.,89,80,9.0,1
Anderson K.,Tipsarevic J.,8,288,-280.0,1
Medvedev D.,Popyrin A.,13,101,-88.0,1
Cuevas P.,Vesely J.,45,124,-79.0,0
Auger-Aliassime F.,Moutet C.,21,84,-63.0,1
Khachanov K.,Lopez F.,9,54,-45.0,1
Pella G.,Seppi A.,26,73,-47.0,1
Hurkacz H.,Mayer L.,48,59,-11.0,1
Bautista Agut R.,Darcis S.,22,221,-199.0,1
Kecmanovic M.,Paire B.,67,32,35.0,0
Djokovic N.,Kudla D.,1,111,-110.0,1
Chardy J.,Goffin D.,81,23,58.0,0
Haase R.,Raonic M.,76,17,59.0,0
Granollers M.,Humbert U.,105,66,39.0,0
Berdych T.,Fritz T.,110,31,79.0,0
Dellien H.,Millman J.,83,64,19.0,0
Andujar P.,Kukushkin M.,78,58,20.0,0
Tomic B.,Tsonga J.W.,96,72,24.0,0
Nadal R.,Sugita Y.,2,274,-272.0,1
Baghdatis M.,Schnur B.,135,112,23.0,1
Johnson S.,Ramos-Vinolas A.,71,99,-28.0,1
Istomin D.,Norrie C.,115,55,60.0,0
Berankis R.,Shapovalov D.,77,27,50.0,1
Caruso S.,Simon G.,123,25,98.0,0
Isner J.,Ruud C.,12,62,-50.0,1
Gasquet R.,Pouille L.,47,28,19.0,0
Cecchinato M.,De Minaur A.,41,29,12.0,0
Delbonis F.,Evans D.,75,61,14.0,0
Monteiro T.,Nishikori K.,113,7,106.0,0
Cilic M.,Mannarino A.,18,42,-24.0,1
Clarke J.,Rubin N.,169,182,-13.0,1
Basilashvili N.,Ward J.,16,195,-179.0,1
Fognini F.,Tiafoe F.,10,38,-28.0,1
Kyrgios N.,Thompson J.,43,44,-1.0,1
Barrere G.,Bublik A.,116,82,34.0,1
Sandgren T.,Uchiyama Y.,94,180,-86.0,1
Federer R.,Harris L.,3,86,-83.0,1
Jubb P.,Sousa J.,431,69,362.0,0
Ebden M.,Schwartzman D.,95,24,71.0,0
Querrey S.,Thiem D.,65,4,61.0,1
Fucsovics M.,Novak D.,51,104,-53.0,1
Garin C.,Rublev A.,34,79,-45.0,0
Andreozzi G.,Djere L.,114,35,79.0,0
Koepfer D.,Krajinovic F.,130,52,78.0,1
Bedene A.,Berrettini M.,85,20,65.0,0
Albot R.,Struff J.L.,40,33,7.0,0
Cuevas P.,Dzumhur D.,45,91,-46.0,1
Humbert U.,Monfils G.,66,15,51.0,1
Dimitrov G.,Moutet C.,49,84,-35.0,0
Fabbiano T.,Tsitsipas S.,89,6,83.0,1
Nishioka Y.,Tipsarevic J.,68,288,-220.0,0
Chardy J.,Klizan M.,81,56,25.0,1
Auger-Aliassime F.,Pospisil V.,21,187,-166.0,1
Carballes Baena R.,Kecmanovic M.,74,67,7.0,0
Jarry N.,Seppi A.,53,73,-20.0,0
Copil M.,Pella G.,88,26,62.0,0
Hurkacz H.,Lajovic D.,48,36,12.0,1
Vesely J.,Zverev A.,124,5,119.0,1
Khachanov K.,Kwon S.W.,9,125,-116.0,1
Londero J.I.,Paire B.,60,32,28.0,0
Majchrzak K.,Verdasco F.,108,37,71.0,0
Edmund K.,Munar J.,30,90,-60.0,1
Goffin D.,Klahn B.,23,87,-64.0,1
Anderson K.,Herbert P.H.,8,39,-31.0,1
Giron M.,Lopez F.,155,54,101.0,0
Bautista Agut R.,Gojowczyk P.,22,121,-99.0,1
Bemelmans R.,Wawrinka S.,171,19,152.0,0
Darcis S.,Zverev M.,221,213,8.0,1
Haase R.,Kovalik J.,76,165,-89.0,1
Jaziri M.,Kudla D.,100,111,-11.0,0
Granollers M.,Sonego L.,105,46,59.0,1
Gunneswaran P.,Raonic M.,93,17,76.0,0
Arnaboldi A.,Karlovic I.,219,80,139.0,0
Carreno Busta P.,Popyrin A.,50,101,-51.0,0
Lorenzi P.,Medvedev D.,106,13,93.0,0
Gulbis E.,Mayer L.,92,59,33.0,0
Opelka R.,Stebe C.M.,63,518,-455.0,1
Djokovic N.,Kohlschreiber P.,1,57,-56.0,1
Anderson K.,Djokovic N.,8,21,-13.0,0
Djokovic N.,Nadal R.,21,1,20.0,1
Anderson K.,Isner J.,8,10,-2.0,1
Djokovic N.,Nishikori K.,21,28,-7.0,1
Isner J.,Raonic M.,10,32,-22.0,1
Del Potro J.M.,Nadal R.,4,1,3.0,0
Anderson K.,Federer R.,8,2,6.0,1
Del Potro J.M.,Simon G.,4,53,-49.0,1
Gulbis E.,Nishikori K.,138,28,110.0,0
Djokovic N.,Khachanov K.,21,40,-19.0,1
Nadal R.,Vesely J.,1,93,-92.0,1
Federer R.,Mannarino A.,2,26,-24.0,1
Isner J.,Tsitsipas S.,10,35,-25.0,1
McDonald M.,Raonic M.,103,32,71.0,0
Anderson K.,Monfils G.,8,44,-36.0,1
Khachanov K.,Tiafoe F.,40,52,-12.0,1
Kyrgios N.,Nishikori K.,18,28,-10.0,0
Del Potro J.M.,Paire B.,4,47,-43.0,1
Novak D.,Raonic M.,171,32,139.0,0
Fognini F.,Vesely J.,16,93,-77.0,0
Djokovic N.,Edmund K.,21,17,4.0,1
Ebden M.,Simon G.,51,53,-2.0,0
Gulbis E.,Zverev A.,138,3,135.0,1
De Minaur A.,Nadal R.,80,1,79.0,0
Albot R.,Isner J.,98,10,88.0,0
Fabbiano T.,Tsitsipas S.,133,35,98.0,0
Federer R.,Struff J.L.,2,64,-62.0,1
McDonald M.,Pella G.,103,82,21.0,1
Anderson K.,Kohlschreiber P.,8,27,-19.0,1
Monfils G.,Querrey S.,44,13,31.0,1
Fritz T.,Zverev A.,68,3,65.0,0
Mannarino A.,Medvedev D.,26,67,-41.0,1
De Minaur A.,Herbert P.H.,80,72,8.0,1
Del Potro J.M.,Lopez F.,4,70,-66.0,1
Bolelli S.,Fognini F.,154,16,138.0,0
Djokovic N.,Zeballos H.,21,126,-105.0,1
Kukushkin M.,Nadal R.,77,1,76.0,0
Berrettini M.,Simon G.,81,53,28.0,0
Edmund K.,Klahn B.,17,168,-151.0,1
Haase R.,Kyrgios N.,43,18,25.0,0
Schwartzman D.,Vesely J.,11,93,-82.0,0
Fabbiano T.,Wawrinka S.,133,224,-91.0,1
Kohlschreiber P.,Muller G.,27,60,-33.0,1
Ebden M.,Robert S.,51,158,-107.0,1
Anderson K.,Seppi A.,8,50,-42.0,1
Benneteau J.,Tiafoe F.,63,52,11.0,0
Nishikori K.,Tomic B.,28,184,-156.0,1
Paire B.,Shapovalov D.,47,25,22.0,1
Dzumhur D.,Gulbis E.,23,138,-115.0,0
Donaldson J.,Tsitsipas S.,54,35,19.0,0
Baghdatis M.,Khachanov K.,95,40,55.0,0
Bemelmans R.,Isner J.,104,10,94.0,0
Cilic M.,Pella G.,5,82,-77.0,0
Jarry N.,McDonald M.,66,103,-37.0,0
Lorenzi P.,Monfils G.,86,44,42.0,0
Albot R.,Bedene A.,98,71,27.0,1
Novak D.,Pouille L.,171,19,152.0,1
Karlovic I.,Struff J.L.,112,64,48.0,0
Millman J.,Raonic M.,56,32,24.0,0
Garcia-Lopez G.,Medvedev D.,65,67,-2.0,0
Querrey S.,Stakhovsky S.,13,109,-96.0,1
Federer R.,Lacko L.,2,73,-71.0,1
Harrison R.,Mannarino A.,59,26,33.0,0
Duckworth J.,Zverev A.,748,3,745.0,0
Basilashvili N.,Simon G.,74,53,21.0,0
Benneteau J.,Fucsovics M.,63,49,14.0,1
Bolelli S.,Cuevas P.,154,76,78.0,1
Hurkacz H.,Tomic B.,122,184,-62.0,0
Bolt A.,Edmund K.,204,17,187.0,0
Baghdatis M.,Thiem D.,95,7,88.0,1
Cecchinato M.,De Minaur A.,29,80,-51.0,0
Daniel T.,Fognini F.,87,16,71.0,0
Kukushkin M.,Pospisil V.,77,97,-20.0,1
Andreozzi G.,Zeballos H.,105,126,-21.0,0
Chardy J.,Shapovalov D.,46,25,21.0,0
Tiafoe F.,Verdasco F.,52,34,18.0,1
Harrison C.,Nishikori K.,198,28,170.0,0
Mayer F.,Vesely J.,91,93,-2.0,0
Istomin D.,Kyrgios N.,92,18,74.0,0
Klahn B.,Sugita Y.,168,69,99.0,1
Fritz T.,Sonego L.,68,121,-53.0,1
Ferrer D.,Khachanov K.,37,40,-3.0,0
Copil M.,Haase R.,94,43,51.0,0
Clarke J.,Gulbis E.,218,138,80.0,0
Berrettini M.,Sock J.,81,15,66.0,1
Albot R.,Carreno Busta P.,98,12,86.0,1
Jung J.,Paire B.,155,47,108.0,0
Nadal R.,Sela D.,1,127,-126.0,1
Ebden M.,Goffin D.,51,9,42.0,1
Djokovic N.,Sandgren T.,21,57,-36.0,1
Herbert P.H.,Zverev M.,72,41,31.0,1
Del Potro J.M.,Gojowczyk P.,4,39,-35.0,1
Dzumhur D.,Marterer M.,23,48,-25.0,1
Delbonis F.,Lopez F.,88,70,18.0,0
Basic M.,Schwartzman D.,78,11,67.0,0
Ramos-Vinolas A.,Robert S.,38,158,-120.0,0
Millman J.,Travaglia S.,56,137,-81.0,1
Carballes Baena R.,Harrison R.,79,59,20.0,0
Anderson K.,Gombos N.,8,190,-182.0,1
Seppi A.,Smith J.P.,50,211,-161.0,1
Cilic M.,Nishioka Y.,5,256,-251.0,1
Elias G.,Garcia-Lopez G.,118,65,53.0,0
Querrey S.,Thompson J.,13,101,-88.0,1
Federer R.,Lajovic D.,2,58,-56.0,1
Donaldson J.,Jaziri M.,54,61,-7.0,1
Broady L.,Raonic M.,173,32,141.0,0
Coric B.,Medvedev D.,20,67,-47.0,0
Gasquet R.,Monfils G.,31,44,-13.0,0
Donskoy E.,Kohlschreiber P.,83,27,56.0,0
Isner J.,Maden Y.,10,134,-124.0,1
Novak D.,Polansky P.,171,110,61.0,1
Bonzi B.,Lacko L.,284,73,211.0,0
Bedene A.,Norrie C.,71,75,-4.0,1
Garin C.,Mannarino A.,167,26,141.0,0
Djere L.,Lorenzi P.,90,86,4.0,0
Dimitrov G.,Wawrinka S.,6,224,-218.0,0
Bhambri Y.,Fabbiano T.,85,133,-48.0,0
Jarry N.,Krajinovic F.,66,30,36.0,1
Kudla D.,Pouille L.,84,19,65.0,0
Karlovic I.,Youzhny M.,112,102,10.0,1
Barrere G.,Tsitsipas S.,188,35,153.0,0
Kubler J.,Pella G.,147,82,65.0,0
Berankis R.,McDonald M.,96,103,-7.0,0
Mmoh M.,Muller G.,119,60,59.0,0
Mayer L.,Struff J.L.,36,64,-28.0,0
Sousa J.,Stakhovsky S.,45,109,-64.0,0
Bemelmans R.,Johnson S.,104,42,62.0,1
Cilic M.,Federer R.,6,5,1.0,0
Cilic M.,Querrey S.,6,28,-22.0,1
Berdych T.,Federer R.,15,5,10.0,0
Federer R.,Raonic M.,5,7,-2.0,1
Berdych T.,Djokovic N.,15,4,11.0,1
Murray A.,Querrey S.,1,28,-27.0,0
Cilic M.,Muller G.,6,26,-20.0,1
Djokovic N.,Mannarino A.,4,51,-47.0,1
Anderson K.,Querrey S.,42,28,14.0,0
Dimitrov G.,Federer R.,11,5,6.0,0
Bautista Agut R.,Cilic M.,19,6,13.0,0
Murray A.,Paire B.,1,46,-45.0,1
Berdych T.,Thiem D.,15,8,7.0,1
Raonic M.,Zverev A.,7,12,-5.0,1
Muller G.,Nadal R.,26,2,24.0,1
Querrey S.,Tsonga J.W.,28,10,18.0,1
Ofner S.,Zverev A.,216,12,204.0,0
Federer R.,Zverev M.,5,30,-25.0,1
Donaldson J.,Thiem D.,67,8,59.0,0
Ramos-Vinolas A.,Raonic M.,22,7,15.0,0
Djokovic N.,Gulbis E.,4,589,-585.0,1
Dimitrov G.,Sela D.,11,90,-79.0,1
Mannarino A.,Monfils G.,51,14,37.0,1
Berdych T.,Ferrer D.,15,39,-24.0,1
Janowicz J.,Paire B.,141,46,95.0,0
Bedene A.,Muller G.,58,26,32.0,0
Cilic M.,Johnson S.,6,31,-25.0,1
Khachanov K.,Nadal R.,34,2,32.0,0
Anderson K.,Bemelmans R.,42,124,-82.0,1
Bautista Agut R.,Nishikori K.,19,9,10.0,1
Fognini F.,Murray A.,29,1,28.0,0
Isner J.,Sela D.,21,90,-69.0,0
Tiafoe F.,Zverev A.,64,12,52.0,0
Baghdatis M.,Dimitrov G.,65,11,54.0,0
Djokovic N.,Pavlasek A.,4,136,-132.0,1
Federer R.,Lajovic D.,5,79,-74.0,1
Edmund K.,Monfils G.,50,14,36.0,0
Del Potro J.M.,Gulbis E.,32,589,-557.0,0
Darcis S.,Ferrer D.,61,39,22.0,0
Simon G.,Thiem D.,36,8,28.0,0
Donaldson J.,Lorenzi P.,67,33,34.0,1
Berdych T.,Harrison R.,15,41,-26.0,1
Raonic M.,Youzhny M.,7,82,-75.0,1
Kukushkin M.,Zverev M.,118,30,88.0,0
Ofner S.,Sock J.,216,18,198.0,1
Ramos-Vinolas A.,Rublev A.,22,95,-73.0,1
Mannarino A.,Sugita Y.,51,44,7.0,1
Janowicz J.,Pouille L.,141,16,125.0,1
Muller G.,Rosol L.,26,214,-188.0,1
Fognini F.,Vesely J.,29,48,-19.0,1
Herbert P.H.,Paire B.,70,46,24.0,0
Bolelli S.,Tsonga J.W.,312,10,302.0,0
Anderson K.,Seppi A.,42,87,-45.0,1
Nadal R.,Young D.,2,43,-41.0,1
Cilic M.,Mayer F.,6,114,-108.0,1
Bemelmans R.,Medvedev D.,124,49,75.0,1
Brown D.,Murray A.,97,1,96.0,0
Albot R.,Johnson S.,108,31,77.0,0
Bedene A.,Dzumhur D.,58,83,-25.0,1
Basilashvili N.,Querrey S.,54,28,26.0,0
Bautista Agut R.,Gojowczyk P.,19,140,-121.0,1
Khachanov K.,Monteiro T.,34,100,-66.0,1
Nishikori K.,Stakhovsky S.,9,122,-113.0,1
Lorenzi P.,Zeballos H.,33,52,-19.0,1
Donaldson J.,Tipsarevic J.,67,63,4.0,1
Djokovic N.,Klizan M.,4,47,-43.0,1
Garin C.,Sock J.,220,18,202.0,0
Berdych T.,Chardy J.,15,71,-56.0,1
Escobedo E.,Pavlasek A.,74,136,-62.0,0
Ferrer D.,Gasquet R.,39,27,12.0,1
Daniel T.,Kukushkin M.,92,118,-26.0,0
Edmund K.,Ward A.,50,869,-819.0,1
Del Potro J.M.,Kokkinakis T.,32,486,-454.0,1
Haase R.,Tiafoe F.,38,64,-26.0,0
Albot R.,Bagnis F.,108,107,1.0,1
Lopez F.,Mannarino A.,25,51,-26.0,0
Granollers M.,Sela D.,112,90,22.0,0
Berankis R.,Darcis S.,196,61,135.0,0
Rublev A.,Travaglia S.,95,155,-60.0,1
Klein B.,Sugita Y.,232,44,188.0,0
Lajovic D.,Tsitsipas S.,79,192,-113.0,1
Baghdatis M.,Ward J.,65,1085,-1020.0,1
Bellucci T.,Ofner S.,55,216,-161.0,0
Pospisil V.,Thiem D.,73,8,65.0,0
Tomic B.,Zverev M.,59,30,29.0,0
Estrella Burgos V.,Gulbis E.,96,589,-493.0,0
Dimitrov G.,Schwartzman D.,11,37,-26.0,1
Jarry N.,Simon G.,182,36,146.0,0
Fritz T.,Isner J.,128,21,107.0,0
Donskoy E.,Zverev A.,98,12,86.0,0
Mahut N.,Youzhny M.,78,82,-4.0,0
Brands D.,Monfils G.,215,14,201.0,0
Coric B.,Harrison R.,45,41,4.0,0
Raonic M.,Struff J.L.,7,53,-46.0,1
Ramos-Vinolas A.,Thompson J.,22,86,-64.0,1
Dolgopolov O.,Federer R.,84,5,79.0,0
Norrie C.,Tsonga J.W.,221,10,211.0,0
Cilic M.,Kohlschreiber P.,6,60,-54.0,1
Millman J.,Nadal R.,137,2,135.0,0
Fognini F.,Tursunov D.,29,715,-686.0,1
Dzumhur D.,Olivo R.,83,89,-6.0,1
Bautista Agut R.,Haider-Maurer A.,19,1039,-1020.0,1
Bublik A.,Murray A.,135,1,134.0,0
Cecchinato M.,Nishikori K.,102,9,93.0,0
Fucsovics M.,Muller G.,109,26,83.0,0
Fabbiano T.,Querrey S.,91,28,63.0,0
Johnson S.,Kicker N.,31,94,-63.0,1
Basilashvili N.,Berlocq C.,54,80,-26.0,1
Mayer F.,Troicki V.,114,40,74.0,1
Herbert P.H.,Kyrgios N.,70,20,50.0,1
Gombos N.,Seppi A.,93,87,6.0,0
Benneteau J.,Stakhovsky S.,81,122,-41.0,0
Laaksonen H.,Rosol L.,104,214,-110.0,0
Medvedev D.,Wawrinka S.,49,3,46.0,1
Copil M.,Gojowczyk P.,85,140,-55.0,0
Brown D.,Sousa J.,97,62,35.0,1
Bolelli S.,Lu Y.H.,312,75,237.0,1
Dutra Silva R.,Paire B.,473,46,427.0,0
Anderson K.,Verdasco F.,42,35,7.0,1
Jaziri M.,Pouille L.,77,16,61.0,0
Bemelmans R.,Haas T.,124,258,-134.0,1
Monteiro T.,Whittington A.,100,210,-110.0,1
Janowicz J.,Shapovalov D.,141,164,-23.0,1
Istomin D.,Young D.,72,43,29.0,0
Marchenko I.,Vesely J.,117,48,69.0,0
Khachanov K.,Kuznetsov An.,34,76,-42.0,1
Bedene A.,Karlovic I.,58,23,35.0,1
Murray A.,Raonic M.,2,7,-5.0,1
Berdych T.,Murray A.,9,2,7.0,0
Federer R.,Raonic M.,3,7,-4.0,0
Berdych T.,Pouille L.,9,30,-21.0,1
Querrey S.,Raonic M.,41,7,34.0,0
Cilic M.,Federer R.,13,3,10.0,0
Murray A.,Tsonga J.W.,2,12,-10.0,1
Berdych T.,Vesely J.,9,64,-55.0,1
Federer R.,Johnson S.,3,29,-26.0,1
Kyrgios N.,Murray A.,18,2,16.0,0
Mahut N.,Querrey S.,51,41,10.0,0
Gasquet R.,Tsonga J.W.,10,12,-2.0,0
Cilic M.,Nishikori K.,13,6,7.0,1
Goffin D.,Raonic M.,11,7,4.0,0
Pouille L.,Tomic B.,30,19,11.0,1
Sousa J.,Vesely J.,31,64,-33.0,0
Gasquet R.,Ramos-Vinolas A.,10,36,-26.0,1
Berdych T.,Zverev A.,9,28,-19.0,1
Kyrgios N.,Lopez F.,18,21,-3.0,1
Del Potro J.M.,Pouille L.,165,30,135.0,0
Isner J.,Tsonga J.W.,17,12,5.0,0
Bautista Agut R.,Tomic B.,15,19,-4.0,0
Cilic M.,Lacko L.,13,123,-110.0,1
Millman J.,Murray A.,67,2,65.0,0
Kuznetsov An.,Nishikori K.,42,6,36.0,0
Raonic M.,Sock J.,7,26,-19.0,1
Goffin D.,Istomin D.,11,116,-105.0,1
Herbert P.H.,Mahut N.,81,51,30.0,0
Dimitrov G.,Johnson S.,37,29,8.0,0
Djokovic N.,Querrey S.,1,41,-40.0,0
Youzhny M.,Zverev A.,70,28,42.0,0
Brown D.,Kyrgios N.,85,18,67.0,0
Fognini F.,Lopez F.,35,21,14.0,0
Evans D.,Federer R.,91,3,88.0,0
Becker B.,Berdych T.,102,9,93.0,0
Pouille L.,Young D.,30,69,-39.0,1
Monaco J.,Tsonga J.W.,97,12,85.0,0
Barton M.,Isner J.,248,17,231.0,0
Del Potro J.M.,Wawrinka S.,165,5,160.0,1
Chardy J.,Johnson S.,34,29,5.0,0
Baghdatis M.,Isner J.,40,17,23.0,0
Almagro N.,Istomin D.,47,116,-69.0,0
Thiem D.,Vesely J.,8,64,-56.0,0
Bautista Agut R.,Kukushkin M.,15,57,-42.0,1
Gasquet R.,Granollers M.,10,340,-330.0,1
Novikov D.,Sousa J.,145,31,114.0,0
Albot R.,Tomic B.,110,19,91.0,0
Dimitrov G.,Simon G.,37,20,17.0,1
Benneteau J.,Nishikori K.,547,6,541.0,0
Cilic M.,Stakhovsky S.,13,94,-81.0,1
Youzhny M.,Zeballos H.,70,83,-13.0,1
Copil M.,Pouille L.,174,30,144.0,0
Mayer L.,Young D.,90,69,21.0,0
Dzumhur D.,Herbert P.H.,87,81,6.0,0
Karlovic I.,Lacko L.,32,123,-91.0,0
Haase R.,Sock J.,98,26,72.0,0
Delbonis F.,Fognini F.,38,35,3.0,0
Ramos-Vinolas A.,Troicki V.,36,27,9.0,1
Barton M.,Olivetti A.,248,793,-545.0,1
Millman J.,Paire B.,67,23,44.0,1
