PlayerA,PlayerB,RankA,RankB,WinnerBinary,MaxOddsPlayerA,MaxOddsPlayerB,AvgOddsPlayerA,AvgOddsPlayerB,H2H_A_wins,H2H_B_wins,H2H_Diff
Hurkacz H.,Musetti L.,18,16,1,1.63,2.6,1.57,2.43,2,2,0
Watanuki Y.,Zverev A.,116,21,0,6.75,1.18,6.02,1.13,0,1,-1
Djokovic N.,Wawrinka S.,2,88,1,1.05,16.55,1.03,12.97,20,6,14
Bublik A.,Marterer M.,26,170,1,1.19,6.33,1.14,5.77,2,0,2
Mannarino A.,Medvedev D.,35,3,0,4.33,1.3,3.93,1.26,4,5,-1
Carballes Baena R.,Rune H.,57,6,0,10.6,1.09,8.99,1.07,2,2,0
O Connell C.,Vesely J.,73,528,1,1.95,2.08,1.87,1.96,1,0,1
Alcaraz C.,Muller A.,1,84,1,1.03,28.92,1.02,17.2,1,0,1
Galan D.E.,Ymer M.,85,59,1,3.6,1.42,3.22,1.35,1,0,1
Murray A.,Tsitsipas S.,40,5,0,1.82,2.25,1.77,2.08,1,2,-1
Halys Q.,Sinner J.,79,8,0,6.36,1.18,5.68,1.15,0,1,-1
Brouwer G.,Zverev A.,153,21,0,10.39,1.1,8.34,1.08,0,1,-1
Bublik A.,Wolf J.J.,26,48,1,1.53,2.85,1.48,2.68,1,2,-1
Marterer M.,Mmoh M.,170,119,1,1.92,2.05,1.84,1.98,1,0,1
Fritz T.,Ymer M.,9,59,0,1.27,4.6,1.23,4.27,0,1,-1
Broady L.,Ruud C.,142,4,1,5.16,1.25,4.44,1.21,1,0,1
Van De Zandschulp B.,Zhang Zh.,44,52,1,1.76,2.31,1.67,2.22,1,0,1
Huesler M.A.,Watanuki Y.,81,116,0,2.12,1.88,2.04,1.79,0,1,-1
Humbert U.,Kubler J.,39,77,0,1.67,2.45,1.62,2.32,1,1,0
Cecchinato M.,Jarry N.,89,28,0,16.63,1.06,10.86,1.05,0,1,-1
Arnaldi M.,Carballes Baena R.,80,57,0,1.55,3.04,1.47,2.7,0,1,-1
Barrios M.,Goffin D.,133,123,0,3.39,1.41,3.07,1.38,0,1,-1
Etcheverry T.,Wawrinka S.,32,88,0,2.75,1.58,2.59,1.51,0,2,-2
Paul T.,Raonic M.,15,849,1,1.54,2.91,1.47,2.72,1,1,0
Djere L.,Shelton B.,60,36,1,2.65,1.61,2.48,1.55,1,0,1
Berrettini M.,Sonego L.,38,42,1,2.75,1.6,2.49,1.54,3,1,2
Medjedovic H.,O Connell C.,156,73,0,2.55,1.67,2.38,1.59,0,2,-2
Galan D.E.,Otte O.,85,233,1,2.75,1.57,2.58,1.51,1,0,1
Karatsev A.,Rublev A.,50,7,0,5.27,1.21,4.74,1.19,1,1,0
Mayot H.,Pella G.,181,308,0,1.79,2.45,1.67,2.23,0,1,-1
Coppejans K.,De Minaur A.,188,17,0,18.0,1.05,14.03,1.03,0,1,-1
Cerundolo F.,Lehecka J.,19,37,0,1.95,2.03,1.86,1.95,0,2,-2
Dimitrov G.,Ivashka I.,24,102,1,1.19,6.3,1.15,5.61,2,2,0
Halys Q.,Vukic A.,79,87,1,1.71,2.36,1.66,2.25,1,0,1
Munar J.,Musetti L.,109,16,0,6.65,1.18,5.72,1.14,2,1,1
Davidovich Fokina A.,Fils A.,34,61,1,1.72,2.4,1.67,2.23,2,2,0
Stricker D.,Tiafoe F.,117,10,0,5.45,1.22,4.77,1.19,0,1,-1
Moutet C.,Safiullin R.,71,92,0,2.65,1.77,2.32,1.62,1,2,-1
Barrere G.,Shapovalov D.,49,29,0,2.64,1.62,2.42,1.57,0,1,-1
Choinski J.,Hurkacz H.,164,18,0,12.26,1.07,9.96,1.06,0,2,-2
Fritz T.,Hanfmann Y.,9,45,1,1.3,4.6,1.26,3.89,1,1,0
Thiem D.,Tsitsipas S.,91,5,0,5.45,1.22,4.92,1.18,5,6,-1
Popyrin A.,Stricker D.,93,117,0,2.32,1.76,2.24,1.67,0,2,-2
