PlayerA,PlayerB,RankA,RankB,WinnerBinary,MaxOddsPlayerA,MaxOddsPlayerB,AvgOddsPlayerA,AvgOddsPlayerB
Bedene A.,Marterer M.,200,172,0,1.93,2.13,1.8,2.02
Carreno Busta P.,Lajovic D.,20,64,0,1.33,4.13,1.28,3.71
Gojowczyk P.,Otte O.,92,36,0,7.0,1.16,5.87,1.13
Bublik A.,Fucsovics M.,38,59,1,1.6,2.66,1.53,2.5
Tiafoe F.,Vavassori A.,28,256,1,1.14,8.2,1.1,7.0
Delbonis F.,Van Rijthoven T.,84,104,0,7.75,1.14,6.61,1.11
Kokkinakis T.,Majchrzak K.,79,91,1,2.17,1.83,2.09,1.75
Djere L.,Tabilo A.,57,78,0,1.53,3.0,1.47,2.72
Coria F.,Vesely J.,67,68,0,12.72,1.09,8.88,1.07
Monteiro T.,Munar J.,89,71,0,1.68,2.4,1.63,2.28
Ramos-Vinolas A.,Ruud C.,39,6,0,6.1,1.27,4.78,1.19
Andujar P.,Norrie C.,100,12,0,24.0,1.05,15.57,1.02
Berrettini M.,Djokovic N.,9,1,0,5.06,1.27,4.59,1.21
Berrettini M.,Hurkacz H.,9,18,1,1.47,3.11,1.43,2.88
Djokovic N.,Shapovalov D.,1,12,1,1.13,8.5,1.1,7.4
Khachanov K.,Shapovalov D.,29,12,0,3.82,1.4,3.5,1.31
Auger-Aliassime F.,Berrettini M.,19,9,0,4.03,1.34,3.7,1.28
Djokovic N.,Fucsovics M.,1,48,1,1.05,17.0,1.03,13.22
Federer R.,Hurkacz H.,8,18,0,1.47,3.1,1.42,2.9
Hurkacz H.,Medvedev D.,18,2,1,6.13,1.19,5.16,1.16
Berrettini M.,Ivashka I.,9,79,1,1.15,6.77,1.13,6.14
Khachanov K.,Korda S.,29,50,1,1.92,2.06,1.85,1.95
Fucsovics M.,Rublev A.,48,7,1,6.0,1.22,5.27,1.16
Auger-Aliassime F.,Zverev A.,19,6,1,4.05,1.32,3.67,1.29
Djokovic N.,Garin C.,1,20,1,1.02,34.0,1.01,19.68
Federer R.,Sonego L.,8,27,1,1.36,3.84,1.3,3.51
Bautista Agut R.,Shapovalov D.,10,12,0,2.36,1.73,2.23,1.66
Duckworth J.,Sonego L.,91,27,0,3.11,1.48,2.91,1.41
Bedene A.,Berrettini M.,64,9,0,7.5,1.19,6.37,1.12
Cilic M.,Medvedev D.,37,2,0,5.75,1.25,5.18,1.17
Federer R.,Norrie C.,8,34,1,1.52,2.95,1.47,2.71
Fritz T.,Zverev A.,40,6,0,8.25,1.13,7.24,1.1
Auger-Aliassime F.,Kyrgios N.,19,60,1,1.83,2.16,1.77,2.05
Bublik A.,Hurkacz H.,38,18,0,2.4,1.71,2.26,1.65
Ivashka I.,Thompson J.,79,78,1,1.72,2.35,1.64,2.26
Khachanov K.,Tiafoe F.,29,57,1,2.3,1.78,2.21,1.67
Djokovic N.,Kudla D.,1,114,1,1.03,26.0,1.02,16.74
Fucsovics M.,Schwartzman D.,48,11,1,2.12,1.97,1.97,1.85
Evans D.,Korda S.,26,50,0,1.83,2.42,1.68,2.2
Fognini F.,Rublev A.,31,7,0,8.0,1.19,5.88,1.13
Garin C.,Martinez P.,20,107,1,1.43,3.38,1.39,3.0
Murray A.,Shapovalov D.,118,12,0,4.4,1.3,3.94,1.25
Bautista Agut R.,Koepfer D.,10,62,1,1.4,3.4,1.36,3.15
Federer R.,Gasquet R.,8,56,1,1.25,5.5,1.19,4.63
Martinez P.,Monfils G.,107,17,1,2.9,1.53,2.71,1.46
Garin C.,Polmans M.,20,154,1,1.42,3.44,1.35,3.19
Bublik A.,Dimitrov G.,38,21,1,1.95,2.04,1.85,1.95
Bonzi B.,Cilic M.,119,37,0,4.5,1.27,4.19,1.23
Giron M.,Hurkacz H.,66,18,0,3.18,1.45,2.95,1.4
Alcaraz C.,Medvedev D.,75,2,0,14.5,1.09,11.69,1.04
Bedene A.,Nishioka Y.,64,58,1,1.5,3.04,1.45,2.77
Bolt A.,Norrie C.,149,34,0,3.87,1.36,3.54,1.3
Auger-Aliassime F.,Ymer M.,19,98,1,1.13,9.91,1.09,7.31
Kyrgios N.,Mager G.,60,77,1,1.17,6.75,1.14,5.81
Sandgren T.,Zverev A.,68,6,0,12.08,1.09,9.38,1.06
Berrettini M.,Van De Zandschulp B.,9,139,1,1.07,17.75,1.05,11.01
Fritz T.,Johnson S.,40,74,1,1.77,2.31,1.69,2.19
Bautista Agut R.,Kecmanovic M.,10,49,1,1.34,4.0,1.29,3.59
Duckworth J.,Querrey S.,91,54,1,4.33,1.32,3.83,1.26
Chardy J.,Ivashka I.,61,79,0,2.36,1.74,2.24,1.65
Galan D.E.,Sonego L.,112,27,0,11.89,1.11,7.56,1.09
Nishikori K.,Thompson J.,53,78,0,1.28,4.8,1.23,4.21
Gerasimov E.,Khachanov K.,73,29,0,5.5,1.22,4.81,1.19
Caruso S.,Cilic M.,96,37,0,14.0,1.06,11.1,1.04
Ivashka I.,Munar J.,79,69,1,1.39,3.44,1.36,3.15
Sonego L.,Sousa P.,27,121,1,1.06,24.0,1.03,14.59
Chardy J.,Karatsev A.,61,24,1,2.31,1.81,2.19,1.68
Kudla D.,Seppi A.,114,90,1,1.69,2.3,1.65,2.24
Humbert U.,Kyrgios N.,25,60,0,1.63,2.63,1.55,2.47
Bonzi B.,Trungelliti M.,119,205,1,1.32,4.91,1.24,4.12
Monfils G.,O Connell C.,17,130,1,2.01,2.13,1.81,2.02
Koepfer D.,Kwon S.W.,62,71,1,1.65,2.51,1.58,2.39
Murray A.,Otte O.,118,151,1,1.44,3.6,1.34,3.24
Tsonga J.W.,Ymer M.,85,98,0,2.0,2.03,1.92,1.89
Alcaraz C.,Uchiyama Y.,75,116,1,1.46,3.52,1.37,3.07
Ruud C.,Thompson J.,14,78,0,1.58,2.8,1.5,2.58
Isner J.,Nishioka Y.,33,58,0,1.16,7.24,1.13,5.95
Garin C.,Zapata Miralles B.,20,125,1,1.56,2.81,1.49,2.62
Giron M.,Ruusuvuori E.,66,76,1,1.69,2.47,1.61,2.31
Dimitrov G.,Verdasco F.,21,106,1,1.35,4.2,1.26,3.87
Broady L.,Schwartzman D.,143,11,0,5.5,1.25,4.36,1.22
Berrettini M.,Pella G.,9,59,1,1.04,26.0,1.02,14.9
Djere L.,Fognini F.,55,31,0,3.52,1.4,3.2,1.35
Londero J.I.,Mager G.,129,77,0,2.8,1.57,2.58,1.51
Fritz T.,Nakashima B.,40,138,1,3.1,1.53,2.91,1.41
Norrie C.,Pouille L.,34,95,1,1.33,4.6,1.24,4.11
Barrere G.,Van De Zandschulp B.,131,139,0,1.68,2.7,1.55,2.45
Coria F.,Galan D.E.,87,112,0,4.8,1.26,4.34,1.22
Andujar P.,Shapovalov D.,70,12,0,13.0,1.07,9.87,1.06
Fucsovics M.,Vesely J.,48,72,1,1.65,2.62,1.57,2.41
Bublik A.,Kukushkin M.,38,105,1,1.28,4.83,1.21,4.42
Anderson K.,Djokovic N.,102,1,0,26.0,1.04,15.29,1.02
Evans D.,Lajovic D.,26,42,1,1.13,9.0,1.09,7.28
Pospisil V.,Tiafoe F.,65,57,0,2.37,1.91,2.1,1.75
Auger-Aliassime F.,Monteiro T.,19,81,1,1.11,10.8,1.08,8.31
Nishikori K.,Popyrin A.,53,67,1,1.47,3.11,1.42,2.85
Bedene A.,Moutet C.,64,83,1,1.84,2.11,1.8,2.02
Albot R.,Duckworth J.,93,91,0,2.68,1.6,2.47,1.54
Hoang A.,Korda S.,156,50,0,8.0,1.13,7.09,1.1
Johnson S.,Novak D.,74,122,1,1.8,2.28,1.7,2.17
Harris L.,Rublev A.,51,7,0,6.0,1.2,5.31,1.16
Carreno Busta P.,Querrey S.,13,54,0,2.48,1.77,2.14,1.71
Clarke J.,Gerasimov E.,230,73,0,3.2,1.44,3.02,1.39
Andujar P.,Herbert P.H.,70,101,1,5.92,1.21,5.24,1.16
Kohlschreiber P.,Shapovalov D.,115,12,0,4.75,1.3,4.26,1.22
Lajovic D.,Simon G.,42,97,1,2.51,1.65,2.38,1.58
Hoang A.,Zhang Zh.,156,175,1,1.91,2.08,1.85,1.96
Kwon S.W.,Masur D.,71,222,1,1.33,4.62,1.28,3.72
Cuevas P.,Djere L.,84,55,0,1.7,2.6,1.58,2.4
Gombos N.,Sandgren T.,94,68,0,2.53,1.63,2.39,1.58
Gasquet R.,Sugita Y.,56,110,1,1.24,5.08,1.22,4.29
Lu Y.,Polmans M.,625,154,0,4.0,1.36,3.5,1.3
Otte O.,Rinderknech A.,151,109,1,2.53,1.74,2.34,1.6
Federer R.,Mannarino A.,8,41,1,1.2,6.05,1.16,5.31
Medvedev D.,Struff J.L.,2,45,1,1.17,6.75,1.14,5.85
De Minaur A.,Korda S.,15,50,0,1.62,2.66,1.57,2.4
Griekspoor T.,Zverev A.,124,6,0,15.0,1.08,10.6,1.05
Paire B.,Schwartzman D.,46,11,0,5.75,1.2,5.28,1.16
Fognini F.,Ramos-Vinolas A.,31,39,1,1.43,3.45,1.35,3.2
Bolt A.,Krajinovic F.,149,44,1,1.8,2.42,1.72,2.14
Evans D.,Lopez F.,26,89,1,1.45,3.15,1.42,2.86
Berankis R.,Harris L.,80,51,0,2.99,1.59,2.51,1.53
Hurkacz H.,Musetti L.,18,63,1,1.5,3.0,1.45,2.76
Davidovich Fokina A.,Kudla D.,35,114,0,1.91,2.05,1.84,1.96
Djokovic N.,Draper J.,1,253,1,1.01,51.0,1.01,24.52
Delbonis F.,Rublev A.,47,7,0,18.18,1.05,13.45,1.03
Martinez P.,Travaglia S.,107,88,1,4.1,1.36,3.85,1.26
Seppi A.,Sousa J.,90,120,1,1.48,2.97,1.45,2.75
Fucsovics M.,Sinner J.,48,23,1,2.95,1.5,2.77,1.45
Basilashvili N.,Murray A.,28,118,0,2.06,2.06,1.85,1.96
Khachanov K.,McDonald M.,29,108,1,1.67,2.55,1.59,2.38
Bautista Agut R.,Millman J.,10,43,1,1.22,5.5,1.19,4.79
Anderson K.,Barrios M.,102,209,1,1.29,4.15,1.26,3.86
Bagnis F.,Kecmanovic M.,92,49,0,9.0,1.11,7.56,1.09
Broady L.,Cecchinato M.,143,86,1,1.44,3.35,1.37,3.1
Carballes Baena R.,Pospisil V.,100,65,0,4.33,1.27,3.98,1.25
Tiafoe F.,Tsitsipas S.,57,4,1,6.5,1.2,5.5,1.15
Hanfmann Y.,Vesely J.,99,72,0,2.75,1.57,2.52,1.53
Koepfer D.,Opelka R.,62,32,1,2.5,1.67,2.33,1.61
Djokovic N.,Federer R.,1,3,1,1.6,2.66,1.54,2.56
Bautista Agut R.,Djokovic N.,22,1,0,10.44,1.12,8.57,1.08
Federer R.,Nadal R.,3,2,1,2.3,1.77,2.18,1.71
Nadal R.,Querrey S.,2,65,1,1.17,6.55,1.14,5.91
Federer R.,Nishikori K.,3,7,1,1.16,7.45,1.12,6.5
Bautista Agut R.,Pella G.,22,26,1,1.25,5.72,1.18,4.96
Djokovic N.,Goffin D.,1,23,1,1.09,12.0,1.07,9.4
Querrey S.,Sandgren T.,65,94,1,1.2,6.14,1.16,5.36
Pella G.,Raonic M.,26,17,1,6.16,1.2,5.17,1.17
Kukushkin M.,Nishikori K.,58,7,0,8.36,1.13,6.91,1.11
Goffin D.,Verdasco F.,23,37,1,1.34,3.91,1.31,3.52
Berrettini M.,Federer R.,20,3,0,9.04,1.12,7.27,1.1
Djokovic N.,Humbert U.,1,66,1,1.04,26.5,1.02,17.58
Nadal R.,Sousa J.,2,69,1,1.05,26.5,1.02,16.23
Bautista Agut R.,Paire B.,22,32,1,1.26,5.07,1.21,4.43
Berrettini M.,Schwartzman D.,20,24,1,1.37,3.6,1.32,3.4
Evans D.,Sousa J.,61,69,0,1.44,3.47,1.39,3.04
Kukushkin M.,Struff J.L.,58,33,1,4.56,1.26,4.18,1.23
Nadal R.,Tsonga J.W.,2,72,1,1.2,5.71,1.17,5.12
Johnson S.,Nishikori K.,71,7,0,4.75,1.25,4.41,1.21
Federer R.,Pouille L.,3,28,1,1.1,10.2,1.07,8.59
Fognini F.,Sandgren T.,10,94,0,1.35,4.1,1.31,3.51
Millman J.,Querrey S.,64,65,0,4.5,1.31,3.91,1.26
Goffin D.,Medvedev D.,23,13,1,1.95,2.0,1.89,1.92
Djokovic N.,Hurkacz H.,1,48,1,1.03,39.0,1.01,20.14
Paire B.,Vesely J.,32,124,1,1.91,2.13,1.81,2.01
Opelka R.,Raonic M.,63,17,0,3.58,1.36,3.34,1.33
Anderson K.,Pella G.,8,26,0,1.15,7.5,1.13,6.2
Fabbiano T.,Verdasco F.,89,37,0,2.55,1.62,2.42,1.57
Auger-Aliassime F.,Humbert U.,21,66,0,1.28,5.0,1.24,4.11
Bautista Agut R.,Khachanov K.,22,9,1,1.55,2.93,1.5,2.61
Koepfer D.,Schwartzman D.,130,24,0,3.29,1.46,3.0,1.39
Sandgren T.,Simon G.,94,25,1,5.8,1.26,4.56,1.21
Fognini F.,Fucsovics M.,10,51,1,1.8,2.23,1.72,2.13
De Minaur A.,Johnson S.,29,71,0,1.72,2.6,1.58,2.41
Isner J.,Kukushkin M.,12,58,0,1.26,4.65,1.23,4.17
Kyrgios N.,Nadal R.,43,2,0,4.45,1.33,3.98,1.25
Fritz T.,Struff J.L.,31,33,0,1.8,2.4,1.69,2.18
Nishikori K.,Norrie C.,7,55,1,1.18,6.29,1.15,5.6
Cilic M.,Sousa J.,18,69,0,1.14,7.72,1.11,6.58
Querrey S.,Rublev A.,65,79,1,1.21,5.52,1.18,4.89
Djere L.,Millman J.,35,64,0,3.92,1.34,3.55,1.3
Berankis R.,Tsonga J.W.,77,72,0,8.55,1.12,7.58,1.09
Basilashvili N.,Evans D.,16,61,0,4.55,1.32,3.86,1.27
Baghdatis M.,Berrettini M.,135,20,0,7.5,1.15,6.48,1.12
Barrere G.,Pouille L.,116,28,0,6.1,1.2,5.37,1.16
Clarke J.,Federer R.,169,3,0,39.0,1.02,23.36,1.01
Opelka R.,Wawrinka S.,63,19,1,5.0,1.27,4.23,1.23
Edmund K.,Verdasco F.,30,37,0,1.6,2.64,1.56,2.44
Fabbiano T.,Karlovic I.,89,80,1,2.01,2.02,1.9,1.91
Anderson K.,Tipsarevic J.,8,288,1,1.09,11.25,1.06,9.15
Medvedev D.,Popyrin A.,13,101,1,1.25,5.02,1.22,4.36
Cuevas P.,Vesely J.,45,124,0,4.05,1.34,3.67,1.29
Auger-Aliassime F.,Moutet C.,21,84,1,1.18,6.46,1.16,5.4
Khachanov K.,Lopez F.,9,54,1,1.86,2.23,1.78,2.04
Pella G.,Seppi A.,26,73,1,2.8,1.57,2.61,1.5
Hurkacz H.,Mayer L.,48,59,1,1.5,3.38,1.42,2.87
Bautista Agut R.,Darcis S.,22,221,1,1.06,14.5,1.04,10.98
Kecmanovic M.,Paire B.,67,32,0,2.3,1.9,2.16,1.7
Djokovic N.,Kudla D.,1,111,1,1.02,39.0,1.01,22.28
Chardy J.,Goffin D.,81,23,0,3.98,1.33,3.54,1.3
Haase R.,Raonic M.,76,17,0,8.5,1.11,7.43,1.09
Granollers M.,Humbert U.,105,66,0,1.76,2.31,1.67,2.2
Berdych T.,Fritz T.,110,31,0,3.2,1.46,2.9,1.42
Dellien H.,Millman J.,83,64,0,11.25,1.09,9.17,1.06
Andujar P.,Kukushkin M.,78,58,0,5.61,1.22,4.92,1.18
Tomic B.,Tsonga J.W.,96,72,0,5.16,1.22,4.72,1.19
Nadal R.,Sugita Y.,2,274,1,1.05,21.0,1.03,13.52
Baghdatis M.,Schnur B.,135,112,1,1.77,2.28,1.7,2.16
Johnson S.,Ramos-Vinolas A.,71,99,1,1.2,5.7,1.17,5.15
Istomin D.,Norrie C.,115,55,0,2.84,1.57,2.59,1.5
Berankis R.,Shapovalov D.,77,27,1,7.55,1.13,6.79,1.11
Caruso S.,Simon G.,123,25,0,4.39,1.32,3.85,1.26
Isner J.,Ruud C.,12,62,1,1.3,4.68,1.26,3.9
Gasquet R.,Pouille L.,47,28,0,2.5,1.71,2.26,1.64
Cecchinato M.,De Minaur A.,41,29,0,5.7,1.22,4.94,1.18
Delbonis F.,Evans D.,75,61,0,12.25,1.11,8.98,1.07
Monteiro T.,Nishikori K.,113,7,0,12.5,1.07,10.21,1.05
Cilic M.,Mannarino A.,18,42,1,1.33,3.92,1.3,3.53
Clarke J.,Rubin N.,169,182,1,2.8,1.58,2.58,1.5
Basilashvili N.,Ward J.,16,195,1,1.69,2.57,1.61,2.34
Fognini F.,Tiafoe F.,10,38,1,2.04,2.2,1.76,2.07
Kyrgios N.,Thompson J.,43,44,1,1.45,3.22,1.38,3.05
Barrere G.,Bublik A.,116,82,1,2.2,1.8,2.11,1.73
Sandgren T.,Uchiyama Y.,94,180,1,1.8,2.25,1.72,2.14
Federer R.,Harris L.,3,86,1,1.03,39.0,1.01,20.67
Jubb P.,Sousa J.,431,69,0,4.36,1.29,3.96,1.25
Ebden M.,Schwartzman D.,95,24,0,2.9,1.53,2.72,1.46
Querrey S.,Thiem D.,65,4,1,2.38,1.74,2.23,1.66
Fucsovics M.,Novak D.,51,104,1,1.83,2.12,1.78,2.04
Garin C.,Rublev A.,34,79,0,1.57,2.75,1.51,2.58
Andreozzi G.,Djere L.,114,35,0,3.92,1.35,3.44,1.32
Koepfer D.,Krajinovic F.,130,52,1,2.2,1.78,2.13,1.72
Bedene A.,Berrettini M.,85,20,0,5.85,1.22,5.15,1.17
Albot R.,Struff J.L.,40,33,0,3.95,1.31,3.62,1.29
Cuevas P.,Dzumhur D.,45,91,1,1.95,2.14,1.85,1.96
Humbert U.,Monfils G.,66,15,1,3.95,1.35,3.44,1.32
Dimitrov G.,Moutet C.,49,84,0,1.25,5.33,1.2,4.56
Fabbiano T.,Tsitsipas S.,89,6,1,8.66,1.16,6.98,1.1
Nishioka Y.,Tipsarevic J.,68,288,0,1.8,2.45,1.73,2.13
Chardy J.,Klizan M.,81,56,1,1.3,4.26,1.27,3.77
Auger-Aliassime F.,Pospisil V.,21,187,1,1.08,14.75,1.05,10.14
Carballes Baena R.,Kecmanovic M.,74,67,0,3.06,1.5,2.79,1.44
Jarry N.,Seppi A.,53,73,0,1.91,2.06,1.84,1.97
Copil M.,Pella G.,88,26,0,1.92,2.06,1.83,1.98
Hurkacz H.,Lajovic D.,48,36,1,1.38,3.6,1.32,3.36
Vesely J.,Zverev A.,124,5,1,5.14,1.25,4.37,1.22
Khachanov K.,Kwon S.W.,9,125,1,1.34,4.14,1.28,3.73
Londero J.I.,Paire B.,60,32,0,4.32,1.33,3.73,1.28
Majchrzak K.,Verdasco F.,108,37,0,1.95,2.18,1.86,1.96
Edmund K.,Munar J.,30,90,1,1.17,7.61,1.12,6.51
Goffin D.,Klahn B.,23,87,1,1.05,17.25,1.03,12.34
Anderson K.,Herbert P.H.,8,39,1,1.4,3.4,1.35,3.22
Giron M.,Lopez F.,155,54,0,4.5,1.27,4.1,1.24
Bautista Agut R.,Gojowczyk P.,22,121,1,1.08,12.6,1.05,9.92
Bemelmans R.,Wawrinka S.,171,19,0,6.7,1.2,5.47,1.15
Darcis S.,Zverev M.,221,213,1,1.71,2.35,1.65,2.24
Haase R.,Kovalik J.,76,165,1,1.29,4.33,1.25,3.99
Jaziri M.,Kudla D.,100,111,0,6.95,1.2,5.74,1.14
Granollers M.,Sonego L.,105,46,1,2.4,1.77,2.18,1.69
Gunneswaran P.,Raonic M.,93,17,0,16.27,1.07,11.85,1.04
Arnaboldi A.,Karlovic I.,219,80,0,4.34,1.29,4.05,1.24
Carreno Busta P.,Popyrin A.,50,101,0,2.45,1.68,2.32,1.61
Lorenzi P.,Medvedev D.,106,13,0,39.0,1.04,19.37,1.01
Gulbis E.,Mayer L.,92,59,0,2.06,2.0,1.92,1.89
Opelka R.,Stebe C.M.,63,518,1,1.17,6.8,1.14,5.92
Djokovic N.,Kohlschreiber P.,1,57,1,1.04,22.7,1.02,14.68
Anderson K.,Djokovic N.,8,21,0,5.6,1.25,4.95,1.19
Djokovic N.,Nadal R.,21,1,1,2.05,1.95,1.97,1.87
Anderson K.,Isner J.,8,10,1,2.15,1.93,2.01,1.84
Djokovic N.,Nishikori K.,21,28,1,1.17,6.95,1.14,6.11
Isner J.,Raonic M.,10,32,1,2.38,1.72,2.27,1.66
Del Potro J.M.,Nadal R.,4,1,0,3.35,1.43,3.18,1.37
Anderson K.,Federer R.,8,2,1,12.6,1.1,9.1,1.07
Del Potro J.M.,Simon G.,4,53,1,1.15,8.5,1.12,6.58
Anderson K.,Monfils G.,8,44,1,1.74,2.6,1.62,2.33
Djokovic N.,Khachanov K.,21,40,1,1.15,7.83,1.12,6.43
Nadal R.,Vesely J.,1,93,1,1.1,12.18,1.07,9.05
Federer R.,Mannarino A.,2,26,1,1.04,24.55,1.02,16.15
Isner J.,Tsitsipas S.,10,35,1,1.53,2.85,1.5,2.65
Gulbis E.,Nishikori K.,138,28,0,4.1,1.32,3.83,1.27
McDonald M.,Raonic M.,103,32,0,9.31,1.12,7.48,1.1
Khachanov K.,Tiafoe F.,40,52,1,1.65,2.5,1.6,2.35
Kyrgios N.,Nishikori K.,18,28,0,1.49,3.25,1.41,2.96
Del Potro J.M.,Paire B.,4,47,1,1.13,8.4,1.11,6.83
Ebden M.,Simon G.,51,53,0,1.73,2.36,1.65,2.26
Novak D.,Raonic M.,171,32,0,9.85,1.09,8.54,1.07
Fognini F.,Vesely J.,16,93,0,1.6,2.65,1.54,2.5
Djokovic N.,Edmund K.,21,17,1,1.3,4.28,1.25,3.98
Gulbis E.,Zverev A.,138,3,1,5.77,1.19,5.24,1.16
De Minaur A.,Nadal R.,80,1,0,9.6,1.1,7.88,1.08
Albot R.,Isner J.,98,10,0,6.61,1.18,5.54,1.15
Fabbiano T.,Tsitsipas S.,133,35,0,3.2,1.43,3.02,1.39
Federer R.,Struff J.L.,2,64,1,1.03,24.75,1.02,16.2
McDonald M.,Pella G.,103,82,1,2.33,1.71,2.23,1.67
Anderson K.,Kohlschreiber P.,8,27,1,1.41,3.4,1.36,3.18
Monfils G.,Querrey S.,44,13,1,3.0,1.49,2.81,1.44
Fritz T.,Zverev A.,68,3,0,7.6,1.16,6.26,1.12
Mannarino A.,Medvedev D.,26,67,1,2.13,1.88,2.02,1.8
Ebden M.,Robert S.,51,158,1,1.2,6.16,1.15,5.48
Bolelli S.,Fognini F.,154,16,0,2.69,1.6,2.49,1.54
Kukushkin M.,Nadal R.,77,1,0,13.0,1.09,9.55,1.06
Del Potro J.M.,Lopez F.,4,70,1,1.39,3.63,1.33,3.36
Djokovic N.,Zeballos H.,21,126,1,1.03,29.75,1.01,18.53
Berrettini M.,Simon G.,81,53,0,3.14,1.45,2.97,1.4
Edmund K.,Klahn B.,17,168,1,1.17,6.62,1.14,5.81
Haase R.,Kyrgios N.,43,18,0,6.02,1.2,5.32,1.16
Schwartzman D.,Vesely J.,11,93,0,2.02,1.95,1.95,1.86
Fabbiano T.,Wawrinka S.,133,224,1,3.7,1.35,3.49,1.31
Kohlschreiber P.,Muller G.,27,60,1,1.5,3.0,1.43,2.83
Nishikori K.,Tomic B.,28,184,1,1.54,2.93,1.47,2.72
Paire B.,Shapovalov D.,47,25,1,3.25,1.45,3.08,1.38
Anderson K.,Seppi A.,8,50,1,1.29,4.2,1.26,3.91
De Minaur A.,Herbert P.H.,80,72,1,1.89,2.1,1.82,2.01
Benneteau J.,Tiafoe F.,63,52,0,1.95,2.05,1.85,1.97
Dzumhur D.,Gulbis E.,23,138,0,1.45,3.3,1.39,3.02
Donaldson J.,Tsitsipas S.,54,35,0,2.4,1.7,2.29,1.63
Baghdatis M.,Khachanov K.,95,40,0,4.23,1.3,3.89,1.26
Bemelmans R.,Isner J.,104,10,0,4.55,1.28,4.09,1.24
Cilic M.,Pella G.,5,82,0,1.05,20.0,1.03,14.07
Jarry N.,McDonald M.,66,103,0,2.34,1.8,2.24,1.66
Lorenzi P.,Monfils G.,86,44,0,11.5,1.08,9.42,1.06
Albot R.,Bedene A.,98,71,1,3.4,1.42,3.1,1.38
Novak D.,Pouille L.,171,19,1,4.08,1.31,3.78,1.27
Karlovic I.,Struff J.L.,112,64,0,1.67,2.41,1.62,2.3
Millman J.,Raonic M.,56,32,0,8.4,1.15,6.72,1.11
Federer R.,Lacko L.,2,73,1,1.03,27.25,1.02,17.49
Querrey S.,Stakhovsky S.,13,109,1,1.22,5.24,1.18,4.94
Garcia-Lopez G.,Medvedev D.,65,67,0,3.5,1.4,3.14,1.36
Harrison R.,Mannarino A.,59,26,0,2.99,1.52,2.77,1.45
Duckworth J.,Zverev A.,748,3,0,16.75,1.06,12.43,1.03
Basilashvili N.,Simon G.,74,53,0,3.5,1.37,3.3,1.34
Benneteau J.,Fucsovics M.,63,49,1,1.67,2.45,1.61,2.34
Bolelli S.,Cuevas P.,154,76,1,1.67,2.44,1.62,2.31
Hurkacz H.,Tomic B.,122,184,0,3.56,1.37,3.31,1.33
Bolt A.,Edmund K.,204,17,0,5.65,1.21,5.01,1.17
Baghdatis M.,Thiem D.,95,7,1,6.75,1.16,6.04,1.13
Cecchinato M.,De Minaur A.,29,80,0,3.0,1.5,2.78,1.44
Daniel T.,Fognini F.,87,16,0,4.0,1.33,3.59,1.29
Ferrer D.,Khachanov K.,37,40,0,4.5,1.28,4.14,1.24
Kukushkin M.,Pospisil V.,77,97,1,1.67,2.4,1.62,2.3
Andreozzi G.,Zeballos H.,105,126,0,2.2,1.79,2.13,1.73
Chardy J.,Shapovalov D.,46,25,0,1.79,2.2,1.72,2.13
Tiafoe F.,Verdasco F.,52,34,1,2.23,1.77,2.16,1.7
Harrison C.,Nishikori K.,198,28,0,10.5,1.12,8.21,1.08
Mayer F.,Vesely J.,91,93,0,3.0,1.5,2.77,1.45
Istomin D.,Kyrgios N.,92,18,0,7.3,1.15,6.19,1.13
Klahn B.,Sugita Y.,168,69,1,3.5,1.43,3.28,1.34
Fritz T.,Sonego L.,68,121,1,1.31,4.16,1.26,3.92
Copil M.,Haase R.,94,43,0,2.65,1.7,2.49,1.54
Clarke J.,Gulbis E.,218,138,0,5.3,1.24,4.76,1.19
Berrettini M.,Sock J.,81,15,1,2.3,1.75,2.18,1.69
Albot R.,Carreno Busta P.,98,12,1,3.14,1.44,3.0,1.39
Jung J.,Paire B.,155,47,0,4.5,1.56,2.86,1.43
Delbonis F.,Lopez F.,88,70,0,8.0,1.13,6.84,1.1
Basic M.,Schwartzman D.,78,11,0,3.0,1.5,2.82,1.43
Nadal R.,Sela D.,1,127,1,1.04,21.77,1.02,15.11
Ebden M.,Goffin D.,51,9,1,2.95,1.51,2.76,1.45
Djokovic N.,Sandgren T.,21,57,1,1.04,20.0,1.03,14.2
Herbert P.H.,Zverev M.,72,41,1,2.8,1.53,2.64,1.49
Del Potro J.M.,Gojowczyk P.,4,39,1,1.15,8.05,1.11,6.58
Dzumhur D.,Marterer M.,23,48,1,1.75,2.31,1.68,2.19
Ramos-Vinolas A.,Robert S.,38,158,0,1.62,2.57,1.57,2.42
Dimitrov G.,Wawrinka S.,6,224,0,1.25,4.71,1.22,4.29
Carballes Baena R.,Harrison R.,79,59,0,7.38,1.16,6.15,1.13
Elias G.,Garcia-Lopez G.,118,65,0,9.4,1.13,7.65,1.09
Anderson K.,Gombos N.,8,190,1,1.1,11.51,1.07,9.03
Seppi A.,Smith J.P.,50,211,1,1.53,3.15,1.47,2.68
Cilic M.,Nishioka Y.,5,256,1,1.04,21.0,1.02,14.87
Querrey S.,Thompson J.,13,101,1,1.17,6.87,1.14,5.86
Federer R.,Lajovic D.,2,58,1,1.03,29.92,1.02,17.56
Donaldson J.,Jaziri M.,54,61,1,1.53,2.72,1.5,2.58
